SETPOINT,ALPHA,BETA,TAS,HOOP_ALPHA,HOOP_BETA,FLT_OMEGA,MT_OMEGA,DWELL_TIME,MAX_TRAVERSE_TIME
1,0,-90,0,0,0,0,0,10,6
2,0,-75,0,0,0,0,0,10,6
3,0,-60,0,0,0,0,0,10,6
4,0,-45,0,0,0,0,0,10,6
5,0,-30,0,0,0,0,0,10,6
6,0,-15,0,0,0,0,0,10,6
7,0,0,0,0,0,0,0,10,6
8,0,15,0,0,0,0,0,10,6
9,0,30,0,0,0,0,0,10,6
10,0,45,0,0,0,0,0,10,6
11,0,60,0,0,0,0,0,10,6
12,0,75,0,0,0,0,0,10,6
13,0,90,0,0,0,0,0,10,6
14,-135,-45,12,0,0,-15000,0,10,6
15,-135,-45,12,0,0,-11250,0,10,6
16,-135,-45,12,0,0,7500,0,10,6
17,-135,-45,12,0,0,11250,0,10,6
18,-135,-45,12,0,0,15000,0,10,6
19,-135,0,12,0,0,-15000,0,10,6
20,-135,0,12,0,0,-11250,0,10,6
21,-135,0,12,0,0,7500,0,10,6
22,-135,0,12,0,0,11250,0,10,6
23,-135,0,12,0,0,15000,0,10,6
24,-135,45,12,0,0,-15000,0,10,6
25,-135,45,12,0,0,-11250,0,10,6
26,-135,45,12,0,0,7500,0,10,6
27,-135,45,12,0,0,11250,0,10,6
28,-135,45,12,0,0,15000,0,10,6
29,-90,-30,12,0,0,-15000,0,10,6
30,-90,-30,12,0,0,-11250,0,10,6
31,-90,-30,12,0,0,7500,0,10,6
32,-90,-30,12,0,0,11250,0,10,6
33,-90,-30,12,0,0,15000,0,10,6
34,-90,0,12,0,0,-15000,0,10,6
35,-90,0,12,0,0,-11250,0,10,6
36,-90,0,12,0,0,7500,0,10,6
37,-90,0,12,0,0,11250,0,10,6
38,-90,0,12,0,0,15000,0,10,6
39,-90,30,12,0,0,-15000,0,10,6
40,-90,30,12,0,0,-11250,0,10,6
41,-90,30,12,0,0,7500,0,10,6
42,-90,30,12,0,0,11250,0,10,6
43,-90,30,12,0,0,15000,0,10,6
44,-75,0,12,0,0,-15000,0,10,6
45,-75,0,12,0,0,-11250,0,10,6
46,-75,0,12,0,0,7500,0,10,6
47,-75,0,12,0,0,11250,0,10,6
48,-75,0,12,0,0,15000,0,10,6
49,-60,-90,12,0,0,-15000,0,10,6
50,-60,-90,12,0,0,-11250,0,10,6
51,-60,-90,12,0,0,7500,0,10,6
52,-60,-90,12,0,0,11250,0,10,6
53,-60,-90,12,0,0,15000,0,10,6
54,-60,-45,12,0,0,-15000,0,10,6
55,-60,-45,12,0,0,-11250,0,10,6
56,-60,-45,12,0,0,7500,0,10,6
57,-60,-45,12,0,0,11250,0,10,6
58,-60,-45,12,0,0,15000,0,10,6
59,-60,0,12,0,0,-15000,0,10,6
